Modèle,R²,MAE,RMSE
Régression Linéaire,0.9070807630033897,2233739.624526292,6003643.743918138
Random Forest,0.787980526990001,1589741.1891472025,9068803.068738166
DummyRegressor,-0.000302485494858562,5889953.737877637,19698255.660863776
Support Vector Regression,-0.039796217266124145,4686625.793397484,20083352.565504402
