datayear,buildingtype,primarypropertytype,councildistrictcode,neighborhood,latitude,longitude,numberofbuildings,numberoffloors,propertygfatotal,propertygfaparking,propertygfabuilding(s),largestpropertyusetype,largestpropertyusetypegfa,secondlargestpropertyusetype,secondlargestpropertyusetypegfa,thirdlargestpropertyusetype,thirdlargestpropertyusetypegfa,siteenergyuse(kbtu),defaultdata,usage_type,BuildingAge,ParkingRatio,BuildingRatio,IsMultiUse,NumberPropertyUses
2016,NonResidential,Hotel,4,NORTHEAST,47.66583,-122.29965,1.0,4,81871,0,81871,Hotel,81871.0,,,,,6668568.5,False,Mono-usage,22,0.0,1.0,0,1
2016,NonResidential,Self-Storage Facility,4,NORTHEAST,47.66172,-122.29598,1.0,2,110356,0,110356,Self-Storage Facility,26225.0,,,,,318364.8125,False,Mono-usage,61,0.0,1.0,0,1
2016,NonResidential,Warehouse,2,GREATER DUWAMISH,47.51138,-122.28875,3.0,2,714095,0,714095,Non-Refrigerated Warehouse,616000.0,Refrigerated Warehouse,276000.0,Office,71000.0,44731160.0,False,Multi-usages,55,0.0,1.0,1,3
2016,NonResidential,Small- and Mid-Sized Office,6,BALLARD,47.66587,-122.38476,1.0,2,94900,0,94900,Office,55586.0,Non-Refrigerated Warehouse,39314.0,,,6186461.5,False,Multi-usages,55,0.0,1.0,1,2
2016,NonResidential,Small- and Mid-Sized Office,2,GREATER DUWAMISH,47.58034,-122.31132,1.0,2,52554,0,52554,Office,51029.0,Other - Education,7849.0,,,2951331.25,False,Multi-usages,116,0.0,1.0,1,2
2016,NonResidential,K-12 School,6,NORTHWEST,47.68891,-122.33553,1.0,3,175015,0,175015,K-12 School,175015.0,,,,,6994740.5,False,Mono-usage,62,0.0,1.0,0,1
2016,NonResidential,Self-Storage Facility,7,DOWNTOWN,47.61351,-122.35129,1.0,3,70586,0,70586,Self-Storage Facility,38439.0,Vocational School,28197.0,Office,3859.0,2158629.0,False,Multi-usages,105,0.0,1.0,1,3
2016,NonResidential,Hotel,7,DOWNTOWN,47.60946,-122.33337,1.0,24,332210,205970,126240,Hotel,348630.0,,,,,16163194.0,False,Mono-usage,47,0.6199993979711628,0.3800006020288372,0,1
2016,NonResidential,Large Office,7,DOWNTOWN,47.6113,-122.33659,1.0,5,168115,0,168115,Office,103362.0,Retail Store,65676.0,Data Center,493.0,9536161.0,False,Multi-usages,43,0.0,1.0,1,3
2016,NonResidential,Other,7,DOWNTOWN,47.61076,-122.33765,1.0,2,57428,0,57428,Other - Mall,51747.0,"Personal Services (Health/Beauty, Dry Cleaning, etc)",5681.0,,,1247362.0,False,Multi-usages,96,0.0,1.0,1,4
2016,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.61048,-122.33794,1.0,8,59400,0,59400,Office,34947.0,Retail Store,4993.0,,,5071974.0,False,Multi-usages,106,0.0,1.0,1,2
2016,NonResidential,Mixed Use Property,7,DOWNTOWN,47.60886,-122.33744,1.0,2,52549,0,52549,Other - Entertainment/Public Assembly,23500.0,Restaurant,23500.0,Office,5459.0,15026196.0,False,Multi-usages,90,0.0,1.0,1,3
2016,NonResidential,Hotel,7,DOWNTOWN,47.61233,-122.33432,1.0,20,98634,10043,88591,Hotel,83591.0,Parking,10043.0,Restaurant,5000.0,4841347.5,False,Multi-usages,86,0.10182087312691364,0.8981791268730863,1,3
2016,NonResidential,Hotel,7,DOWNTOWN,47.61087,-122.33339,1.0,34,994212,146694,847518,Hotel,994212.0,Parking,117668.0,Swimming Pool,0.0,80469216.0,False,Multi-usages,34,0.14754800786954894,0.8524519921304511,1,3
2016,NonResidential,Hotel,7,DOWNTOWN,47.60997,-122.34138,1.0,7,71150,0,71150,Hotel,41340.0,Parking,13730.0,Retail Store,9604.0,5348309.0,False,Multi-usages,31,0.0,1.0,1,4
2016,NonResidential,Hotel,7,DOWNTOWN,47.61155,-122.34114,1.0,7,122810,0,122810,Hotel,88360.0,Other - Entertainment/Public Assembly,26450.0,Retail Store,8000.0,5401277.5,False,Multi-usages,108,0.0,1.0,1,3
2016,NonResidential,Hotel,7,LAKE UNION,47.61986,-122.34413,1.0,5,113173,42546,70627,Hotel,70627.0,Parking,42546.0,,,5284343.5,False,Multi-usages,57,0.3759377236620042,0.6240622763379958,1,2
2016,NonResidential,Hotel,7,LAKE UNION,47.62001,-122.34274,1.0,7,150453,34735,115718,Hotel,107547.0,Restaurant,3000.0,,,6715187.0,False,Multi-usages,16,0.23086944095498263,0.7691305590450174,0,1
2016,NonResidential,Hotel,7,LAKE UNION,47.62025,-122.34314,1.0,6,116300,28200,88100,Hotel,88490.0,Parking,28300.0,,,5827595.5,False,Multi-usages,19,0.24247635425623387,0.7575236457437661,0,1
2016,NonResidential,Hotel,7,MAGNOLIA / QUEEN ANNE,47.62023,-122.35951,1.0,6,155602,36744,118858,Hotel,155602.0,,,,,6836900.0,False,Mono-usage,18,0.23614092363851363,0.7638590763614863,0,1
2016,NonResidential,K-12 School,3,EAST,47.63442,-122.30793,1.0,3,56072,0,56072,K-12 School,56072.0,,,,,3234787.75,False,Mono-usage,105,0.0,1.0,0,1
2016,NonResidential,Hotel,7,MAGNOLIA / QUEEN ANNE,47.62519,-122.34456,1.0,4,122942,44891,78051,Hotel,78051.0,Parking,44891.0,,,5337334.0,False,Multi-usages,17,0.36513965935156417,0.6348603406484359,1,2
2016,NonResidential,Small- and Mid-Sized Office,3,CENTRAL,47.60823,-122.30956,1.0,2,54984,0,54984,Office,54984.0,,,,,3375211.0,False,Mono-usage,54,0.0,1.0,0,1
2016,NonResidential,Senior Care Community,1,SOUTHWEST,47.55837,-122.37751,1.0,5,217603,0,217603,Senior Care Community,296313.0,Parking,0.0,,,42792072.0,False,Multi-usages,94,0.0,1.0,1,2
